Stress	Position	Phoneme	TransitionTo	TransitionalPropbability	TransitionalPredictability	JointPosition	JointTransition	PhonemeOccurences	TransitionToOccurences
Ante_Stress	Onset	k	v	0,0598777977456081	0,755127494178792	Ante_Stress-Onset	k-v	11725	285
Ante_Stress	Onset	k	ʉ̞	0,0590958296479878	0,745265982361132	Ante_Stress-Onset	k-ʉ̞	11725	109
Ante_Stress	Onset	k	e̞	0,0590868782948101	0,745153095562534	Ante_Stress-Onset	k-e̞	11725	390
Ante_Stress	Onset	k	ɪ	0,0546534834062972	0,689242916850036	Ante_Stress-Onset	k-ɪ	11725	143
Ante_Stress	Onset	k	ɑ	0,0513116106349464	0,647098080087405	Ante_Stress-Onset	k-ɑ	11725	130
Ante_Stress	Onset	k	o	0,0420293339295391	0,530037957425454	Ante_Stress-Onset	k-o	11725	34
Ante_Stress	Onset	k	u	0,0401831903184534	0,506755975598799	Ante_Stress-Onset	k-u	11725	28
Ante_Stress	Onset	k	ʏ	0,0390252728475223	0,492153312321087	Ante_Stress-Onset	k-ʏ	11725	38
Ante_Stress	Onset	k	s	0,0350766559418304	0,442356738269801	Ante_Stress-Onset	k-s	11725	16
Ante_Stress	Onset	k	a͡u	0,0315826276444325	0,398293046348242	Ante_Stress-Onset	k-a͡u	11725	12
Ante_Stress	Onset	k	ø	0,0296803202038155	0,374302774413163	Ante_Stress-Onset	k-ø	11725	3
Ante_Stress	Onset	k	n	0,0153807297052937	0,193968587995567	Ante_Stress-Onset	k-n	11725	6
Ante_Stress	Onset	l	ɪ	0,0721721249969527	1	Ante_Stress-Onset	l-ɪ	8642	2881
Ante_Stress	Onset	l	a	0,070204121939386	0,972731812210743	Ante_Stress-Onset	l-a	8642	1674
Ante_Stress	Onset	l	e̞	0,0699464745312815	0,969161910283712	Ante_Stress-Onset	l-e̞	8642	1680
Ante_Stress	Onset	l	ʊ	0,066769144549766	0,925137572886834	Ante_Stress-Onset	l-ʊ	8642	1175
Ante_Stress	Onset	l	ʉ	0,0594176014563032	0,823276319753811	Ante_Stress-Onset	l-ʉ	8642	358
Ante_Stress	Onset	l	i	0,058752937335455	0,814066889923717	Ante_Stress-Onset	l-i	8642	22
Ante_Stress	Onset	l	ɔ	0,055414479619605	0,76781000451275	Ante_Stress-Onset	l-ɔ	8642	253
Ante_Stress	Onset	l	ʉ̞	0,0523042519044233	0,724715420345899	Ante_Stress-Onset	l-ʉ̞	8642	92
Ante_Stress	Onset	l	ʏ	0,0501380788616223	0,694701435820815	Ante_Stress-Onset	l-ʏ	8642	157
Ante_Stress	Onset	l	ɵ	0,0478350785767742	0,662791605190979	Ante_Stress-Onset	l-ɵ	8642	79
Ante_Stress	Onset	l	e	0,0465075445506382	0,644397605759867	Ante_Stress-Onset	l-e	8642	52
Ante_Stress	Onset	l	ø	0,0440385501396724	0,610187799535233	Ante_Stress-Onset	l-ø	8642	14
Ante_Stress	Onset	l	ɑ	0,0437847094121553	0,606670642079667	Ante_Stress-Onset	l-ɑ	8642	77
Ante_Stress	Onset	l	a͡u	0,0388209678909024	0,537894206281741	Ante_Stress-Onset	l-a͡u	8642	24
Ante_Stress	Onset	l	ɛ̝	0,0387950109286572	0,537534552714019	Ante_Stress-Onset	l-ɛ̝	8642	35
